LSOA11CD,AdultSkills_2019,AdultSkills_2025_pred,confidence,boundary_changed,change,pct_change
E01000001,0.032,0.0457791000003869,1.0,0,0.013779100000386901,43.05968750120907
E01000002,0.034,0.04489296140585027,1.0,0,0.01089296140585027,32.03812178191256
E01000003,0.142,0.12192428136843977,1.0,0,-0.020075718631560213,-14.137830022225504
E01000005,0.321,0.2810924797886486,1.0,0,-0.03990752021135141,-12.432249287025362
E01000006,0.325,0.31824905998817776,1.0,0,-0.0067509400118222485,-2.0772123113299226
E01000007,0.251,0.2816000541730495,1.0,0,0.030600054173049507,12.191256642649206
E01000008,0.384,0.3440312628474458,1.0,0,-0.03996873715255422,-10.408525300144328
E01000009,0.277,0.34318758160216445,1.0,0,0.06618758160216442,23.894433791395098
E01000010,0.228,0.2774596811994807,0.75,1,0.049459681199480715,21.69284263135119
E01000011,0.334,0.3840962313962598,1.0,0,0.050096231396259794,14.998871675526884
E01000012,0.283,0.3255814086528438,1.0,0,0.04258140865284382,15.046434152948347
E01000013,0.41,0.3521959272780649,1.0,0,-0.05780407272193505,-14.098554322423185
E01000014,0.438,0.3579229271306401,1.0,0,-0.08007707286935989,-18.28243672816436
E01000015,0.391,0.3397237592496464,1.0,0,-0.05127624075035364,-13.114128069144153
E01000016,0.448,0.33983715935280284,1.0,0,-0.10816284064719717,-24.143491215892226
E01000017,0.403,0.3610040832076612,1.0,0,-0.04199591679233883,-10.42082302539425
E01000018,0.419,0.3495724141821299,1.0,0,-0.06942758581787006,-16.56982955080431
E01000019,0.41,0.3379224765486454,1.0,0,-0.0720775234513546,-17.579883768623073
E01000020,0.391,0.351240300651498,1.0,0,-0.03975969934850199,-10.16872106099795
E01000021,0.401,0.345624010342923,1.0,0,-0.05537598965707702,-13.809473729944392
E01000022,0.401,0.33998610826025827,1.0,0,-0.061013891739741755,-15.21543434906278
E01000023,0.343,0.2967552500580119,0.75,1,-0.04624474994198813,-13.48243438541928
E01000024,0.395,0.352309967759799,1.0,0,-0.042690032240201015,-10.807603098785068
E01000025,0.424,0.34880085503162017,1.0,0,-0.07519914496837982,-17.735647398202786
E01000027,0.44,0.3444109936849648,1.0,0,-0.0955890063150352,-21.724774162507998
E01000028,0.401,0.3279549386866818,1.0,0,-0.07304506131331823,-18.215726013296315
E01000029,0.337,0.28653313777603506,1.0,0,-0.05046686222396496,-14.975330036784854
E01000030,0.429,0.3330434727184957,1.0,0,-0.09595652728150428,-22.367488876807524
E01000031,0.311,0.25848644359372774,1.0,0,-0.052513556406272255,-16.885387911984648
E01000032,0.393,0.31090131130947496,1.0,0,-0.08209868869052506,-20.890251575197215
E01000033,0.449,0.36807582449249515,1.0,0,-0.08092417550750486,-18.02320167205008
E01000034,0.429,0.3292368716514382,1.0,0,-0.09976312834856177,-23.254808472858223
E01000035,0.371,0.341517120405455,1.0,0,-0.029482879594544986,-7.946867815241236
E01000036,0.364,0.3119192405235569,1.0,0,-0.052080759476443084,-14.307900955066783
E01000037,0.35,0.2696448906347592,1.0,0,-0.08035510936524076,-22.958602675783077
E01000038,0.374,0.2830166276715348,1.0,0,-0.0909833723284652,-24.327104900659148
E01000039,0.344,0.2676667136291097,1.0,0,-0.07633328637089026,-22.18990882874717
E01000040,0.408,0.36624214590357784,1.0,0,-0.04175785409642213,-10.234768160887777
E01000041,0.458,0.36204291574529845,1.0,0,-0.09595708425470156,-20.95132843989117
E01000042,0.414,0.35563565588610213,1.0,0,-0.05836434411389785,-14.0976676603618
E01000043,0.423,0.3541249086435672,1.0,0,-0.06887509135643277,-16.282527507430917
E01000044,0.344,0.35004339322455347,1.0,0,0.006043393224553495,1.7568003559748533
E01000045,0.378,0.342606167060421,1.0,0,-0.035393832939578984,-9.363447867613488
E01000046,0.434,0.33151216637072684,1.0,0,-0.10248783362927316,-23.614708209509946
E01000048,0.405,0.3516038658967755,0.75,1,-0.053396134103224524,-13.184230642771487
E01000049,0.411,0.3548478069624598,1.0,0,-0.056152193037540155,-13.662334072394199
E01000050,0.354,0.34630412793182486,1.0,0,-0.007695872068175125,-2.1739751605014477
E01000051,0.418,0.28245712973602327,1.0,0,-0.1355428702639767,-32.426523986597296
E01000052,0.362,0.3613478106643183,1.0,0,-0.0006521893356816744,-0.18016279991206474
E01000053,0.394,0.33977750797321715,1.0,0,-0.054222492026782865,-13.762053813904279
E01000054,0.418,0.33664543183280854,1.0,0,-0.08135456816719144,-19.46281535100274
E01000055,0.403,0.3406944972460967,1.0,0,-0.06230550275390334,-15.46042251957899
E01000056,0.426,0.34871420199201697,1.0,0,-0.07728579800798302,-18.142206105160334
E01000057,0.375,0.34763112559149645,1.0,0,-0.027368874408503552,-7.29836650893428
E01000058,0.388,0.3499175073450439,1.0,0,-0.03808249265495611,-9.81507542653508
E01000059,0.411,0.3389361768381474,1.0,0,-0.07206382316185256,-17.533776925024952
E01000060,0.394,0.33848145498679727,1.0,0,-0.05551854501320275,-14.091001272386483
