LSOA11CD,Barriers_2019,Barriers_2025_pred,confidence,boundary_changed,change,pct_change
E01000001,29.472,12.890863283164538,1.0,0,-16.581136716835463,-56.26064304029405
E01000002,24.412,12.490783234372113,1.0,0,-11.921216765627886,-48.83342932012078
E01000003,40.103,17.00465125233687,1.0,0,-23.09834874766313,-57.597558156903794
E01000005,39.9,24.94486923576835,1.0,0,-14.955130764231647,-37.48153073742267
E01000006,45.171,35.904987865302715,1.0,0,-9.266012134697284,-20.51318796284626
E01000007,50.42,38.553535374357416,1.0,0,-11.866464625642585,-23.535233291635436
E01000008,45.413,41.62502656423019,1.0,0,-3.787973435769807,-8.341165383854419
E01000009,48.119,39.09034809366682,1.0,0,-9.028651906333181,-18.763174434907587
E01000010,50.58,43.053897404715286,0.75,1,-7.526102595284712,-14.879601809578316
E01000011,52.948,38.08635214796238,1.0,0,-14.86164785203762,-28.068383795492974
E01000012,56.507,45.60324262522101,1.0,0,-10.90375737477899,-19.296294927670893
E01000013,45.252,28.99051802523683,1.0,0,-16.26148197476317,-35.93538843534688
E01000014,46.135,28.908064464575848,1.0,0,-17.22693553542415,-37.340274272080094
E01000015,50.4,33.54138325291011,1.0,0,-16.85861674708989,-33.44963640295613
E01000016,43.772,28.781696342819142,1.0,0,-14.990303657180856,-34.24633020465333
E01000017,45.929,30.437660141403313,1.0,0,-15.491339858596689,-33.728885581215984
E01000018,43.512,28.382252955253975,1.0,0,-15.129747044746026,-34.77143556891438
E01000019,41.248,33.08101301574615,1.0,0,-8.166986984253846,-19.799716311709286
E01000020,43.518,34.10399109739101,1.0,0,-9.414008902608991,-21.632448418146495
E01000021,45.544,32.82971842402069,1.0,0,-12.714281575979307,-27.916479834839514
E01000022,44.277,32.2501593614234,1.0,0,-12.026840638576601,-27.162727010810578
E01000023,45.846,29.910870476625682,0.75,1,-15.935129523374314,-34.75794949041207
E01000024,45.704,31.757297398968333,1.0,0,-13.946702601031667,-30.51527787727916
E01000025,47.029,28.831551888368168,1.0,0,-18.197448111631836,-38.694099622853635
E01000027,44.976,30.91634544906949,1.0,0,-14.05965455093051,-31.26034896596076
E01000028,48.625,33.73581096449036,1.0,0,-14.889189035509638,-30.620440175855293
E01000029,47.51,29.730619862234285,1.0,0,-17.779380137765713,-37.42239557517515
E01000030,44.592,31.351399273878386,1.0,0,-13.240600726121613,-29.692771631955537
E01000031,34.14,29.49256476744116,1.0,0,-4.647435232558841,-13.612874143406097
E01000032,39.922,30.589971676514832,1.0,0,-9.332028323485165,-23.375653332711703
E01000033,55.686,29.90617051216012,1.0,0,-25.77982948783988,-46.29499243587235
E01000034,45.083,28.587200438183157,1.0,0,-16.495799561816842,-36.589844424321456
E01000035,39.025,29.582243985105695,1.0,0,-9.442756014894304,-24.196684214975797
E01000036,31.724,28.15692132780442,1.0,0,-3.5670786721955814,-11.244101223665304
E01000037,29.715,23.509415958768805,1.0,0,-6.2055840412311944,-20.88367505041627
E01000038,27.945,24.169298709492992,1.0,0,-3.7757012905070084,-13.511187298289528
E01000039,42.779,26.887431919541548,1.0,0,-15.891568080458455,-37.1480588149757
E01000040,45.801,33.21087779293063,1.0,0,-12.59012220706937,-27.48874960605526
E01000041,48.606,30.324779572366687,1.0,0,-18.281220427633315,-37.6110365544034
E01000042,57.015,36.9772937055398,1.0,0,-20.0377062944602,-35.144622107270365
E01000043,42.921,32.35857665711993,1.0,0,-10.562423342880066,-24.60898707597695
E01000044,42.638,35.88809147448436,1.0,0,-6.749908525515636,-15.830734381339736
E01000045,44.514,30.42425831518102,1.0,0,-14.089741684818982,-31.65238281174233
E01000046,45.338,29.32672776046416,1.0,0,-16.011272239535842,-35.31534747791222
E01000048,49.012,41.76561113817679,0.75,1,-7.246388861823213,-14.784927898929269
E01000049,55.298,44.07437999301762,1.0,0,-11.22362000698238,-20.296611101635467
E01000050,48.003,36.63670238427943,1.0,0,-11.366297615720569,-23.678306805242524
E01000051,45.996,39.218645251695015,1.0,0,-6.777354748304987,-14.734661162503231
E01000052,51.774,36.25442800000987,1.0,0,-15.519571999990134,-29.975609379206038
E01000053,49.479,31.539423756548814,1.0,0,-17.939576243451185,-36.25694990491155
E01000054,42.507,29.29366583164272,1.0,0,-13.213334168357278,-31.085078147969224
E01000055,43.185,29.55912202448326,1.0,0,-13.625877975516744,-31.552339876153162
E01000056,51.736,30.50744614057539,1.0,0,-21.228553859424608,-41.03246068390407
E01000057,43.725,30.430786785976284,1.0,0,-13.294213214023717,-30.404146858830682
E01000058,46.251,30.276631623404477,1.0,0,-15.974368376595521,-34.53842809149104
E01000059,45.241,29.379309795441934,1.0,0,-15.861690204558066,-35.06043236126095
E01000060,48.53,28.55681915376579,1.0,0,-19.97318084623421,-41.15635863637793
E01000061,49.627,32.0444118941432,1.0,0,-17.5825881058568,-35.42948013350958
E01000062,45.088,28.60962107707124,1.0,0,-16.478378922928762,-36.54714984680793
E01000063,41.886,28.387214881227905,1.0,0,-13.498785118772098,-32.22743904591533
E01000064,50.054,30.92297992971399,1.0,0,-19.131020070286013,-38.22076171791667
E01000065,47.453,30.272834799104487,1.0,0,-17.180165200895516,-36.204592335353965
E01000066,50.656,34.842568144077084,1.0,0,-15.813431855922914,-31.217292829917312
E01000067,42.456,31.699022799248674,1.0,0,-10.75697720075133,-25.336765594383195
E01000068,41.502,32.36398680301284,1.0,0,-9.13801319698716,-22.01824778802747
E01000069,31.781,29.310800816834053,1.0,0,-2.4701991831659456,-7.772565945583668
E01000070,35.596,31.30727103458036,1.0,0,-4.2887289654196366,-12.048345222552076
E01000071,40.981,37.37225896620824,1.0,0,-3.608741033791759,-8.805888176939945
E01000072,46.957,32.177290534865065,1.0,0,-14.779709465134935,-31.47498661570146
E01000073,43.442,29.320357322425902,1.0,0,-14.121642677574098,-32.50688890376617
E01000074,47.408,29.292990682848487,1.0,0,-18.115009317151515,-38.210870142489696
E01000075,44.869,29.220896009299533,1.0,0,-15.648103990700466,-34.875089684861415
E01000076,49.87,30.270842001918915,1.0,0,-19.599157998081083,-39.30049728911386
E01000077,44.143,29.23654631433164,1.0,0,-14.90645368566836,-33.7685560239865
E01000078,44.311,29.659944393666102,1.0,0,-14.651055606333898,-33.06415022530274
E01000079,48.007,28.996375828227865,1.0,0,-19.010624171772132,-39.59969206943182
E01000080,45.385,29.01944060562309,1.0,0,-16.36555939437691,-36.05940155200377
E01000081,43.718,28.521293847963097,1.0,0,-15.196706152036906,-34.76075335568165
E01000082,43.176,28.538153370311285,1.0,0,-14.637846629688717,-33.9027390904408
E01000083,44.245,29.605786630347115,1.0,0,-14.639213369652882,-33.08670667793623
E01000084,43.432,29.794568733660007,1.0,0,-13.637431266339995,-31.39950098162644
E01000085,46.139,30.595869915308633,1.0,0,-15.54313008469137,-33.687618033965556
E01000086,42.757,30.31105454410228,1.0,0,-12.445945455897718,-29.10855639052721
E01000087,48.565,29.66042298008489,1.0,0,-18.90457701991511,-38.92633999776611
E01000088,44.005,29.33315707440927,1.0,0,-14.671842925590731,-33.3413087730729
E01000089,47.254,29.504352843641122,1.0,0,-17.749647156358876,-37.56221093739975
E01000090,45.475,29.40171794253741,1.0,0,-16.073282057462592,-35.345315134607134
E01000091,48.266,37.39460311947795,1.0,0,-10.871396880522049,-22.5239234254383
E01000092,61.059,35.76895206626204,0.75,1,-25.29004793373796,-41.41903394051321
E01000093,49.657,37.42284898817819,1.0,0,-12.234151011821808,-24.63731399766762
E01000094,64.961,33.11556770124577,1.0,0,-31.845432298754226,-49.02238619903362
E01000095,63.151,30.73194619116069,1.0,0,-32.41905380883931,-51.335772685847104
E01000096,48.317,38.04991786263521,1.0,0,-10.267082137364788,-21.249419743288676
E01000097,47.096,29.32971567503421,1.0,0,-17.76628432496579,-37.72355258401093
E01000098,43.482,33.68762091822958,1.0,0,-9.794379081770423,-22.525134726485494
E01000099,47.111,29.059650024371,1.0,0,-18.051349975628998,-38.31663512901233
E01000100,42.938,29.215009380943364,1.0,0,-13.722990619056638,-31.96001355223028
E01000101,43.29,28.75112475853459,1.0,0,-14.538875241465409,-33.58483539262049
E01000102,44.376,28.268015897709766,1.0,0,-16.10798410229023,-36.298864481454466
E01000103,50.872,28.965296695069092,1.0,0,-21.906703304930907,-43.062398382078364
E01000104,50.107,32.184367013115704,1.0,0,-17.922632986884295,-35.76872091101901
E01000105,47.24,31.4067701397584,1.0,0,-15.833229860241602,-33.51657464064691
E01000106,51.428,31.033760609415197,1.0,0,-20.3942393905848,-39.65590610287159
E01000107,44.429,28.84539377692944,1.0,0,-15.58360622307056,-35.07530266958644
E01000108,41.045,31.612395513393754,1.0,0,-9.432604486606248,-22.981129215754045
