LSOA11CD,LSOA21CD,overlap_pct
E01030774,E01030774,100.0
W01000925,W01000925,100.0
E01008366,E01008366,100.0
E01021621,E01021621,100.0
E01019012,E01019012,100.0
E01031745,E01031745,100.0
E01032388,E01032388,100.0
E01021626,E01021626,100.0
E01018695,E01018695,100.0
E01001770,E01001770,100.0
E01020441,E01020441,100.0
E01026367,E01026367,100.0
E01010255,E01010255,100.0
E01025958,E01025958,100.0
E01028866,E01028866,100.0
E01006310,E01006310,100.0
E01020987,E01020987,100.0
E01019230,E01019230,100.0
E01018347,E01018347,100.0
E01031289,E01031289,100.0
E01000179,E01000179,100.0
E01031368,E01031368,100.0
E01015443,E01015443,100.0
E01010031,E01010031,100.0
E01025097,E01025097,100.0
E01000187,E01000187,100.0
E01009906,E01009906,100.0
E01011617,E01011617,100.0
E01009535,E01009535,100.0
E01023537,E01023537,100.0
E01011173,E01011173,100.0
E01022367,E01022367,100.0
E01001845,E01001845,100.0
E01001945,E01001945,100.0
E01029052,E01029052,100.0
E01029347,E01029347,100.0
E01013173,E01013173,100.0
E01016128,E01016128,100.0
E01032925,E01032925,100.0
E01032387,E01032387,100.0
E01031006,E01031006,100.0
E01032948,E01032948,100.0
E01001127,E01001127,100.0
W01000328,W01000328,100.0
E01002066,E01002066,100.0
W01001006,W01001006,100.0
E01018154,E01018154,100.0
E01017531,E01017531,100.0
E01030962,E01030962,100.0
E01030342,E01030342,100.0
E01030585,E01030585,100.0
E01002001,E01002001,100.0
E01001540,E01001540,100.0
E01024411,E01024411,100.0
E01028168,E01028168,100.0
E01015090,E01015090,100.0
E01027998,E01027998,100.0
E01007961,E01007961,100.0
E01031381,E01031381,100.0
E01028541,E01028541,100.0
E01030055,E01030055,100.0
E01021283,E01021283,100.0
E01004401,E01004401,100.0
E01015870,E01015870,100.0
E01030278,E01030278,100.0
E01029053,E01029053,100.0
E01029601,E01029601,100.0
E01023760,E01023760,100.0
W01000482,W01000482,100.0
E01008320,E01008320,100.0
E01020078,E01020078,100.0
E01013155,E01013155,100.0
E01008924,E01008924,100.0
E01016102,E01016102,100.0
E01022188,E01022188,100.0
E01023408,E01023408,100.0
E01027593,E01027593,100.0
E01019915,E01019915,100.0
E01012503,E01012503,100.0
E01027682,E01027682,100.0
E01008028,E01008028,100.0
E01001170,E01001170,100.0
E01016745,E01016745,100.0
E01003798,E01003798,100.0
E01019460,E01019460,100.0
E01019426,E01019426,100.0
E01030679,E01030679,100.0
E01018697,E01018697,100.0
E01031011,E01031011,100.0
E01029346,E01029346,100.0
E01006227,E01006227,100.0
E01020149,E01020149,100.0
E01020027,E01020027,100.0
E01024804,E01024804,100.0
E01020183,E01020183,100.0
E01032509,E01032509,100.0
E01002332,E01002332,100.0
E01001857,E01001857,100.0
E01004015,E01004015,100.0
E01008939,E01008939,100.0
E01016214,E01016214,100.0
E01009784,E01009784,100.0
E01014841,E01014841,100.0
E01018191,E01018191,100.0
E01001012,E01001012,100.0
E01029727,E01029727,100.0
E01031835,E01031835,100.0
E01019688,E01019688,100.0
E01028858,E01028858,100.0
E01031386,E01031386,100.0
E01012833,E01012833,100.0
E01021650,E01021650,100.0
E01017567,E01017567,100.0
E01033445,E01033445,100.0
E01012701,E01012701,100.0
W01000317,W01000317,100.0
E01002328,E01002328,100.0
E01025494,E01025494,100.0
E01032413,E01032413,100.0
E01015790,E01015790,100.0
W01000779,W01000779,100.0
E01023105,E01023105,100.0
E01005944,E01005944,100.0
E01029574,E01029574,100.0
E01016870,E01016870,100.0
E01015276,E01015276,100.0
E01027061,E01027061,100.0
E01001926,E01001926,100.0
E01012940,E01012940,100.0
W01000712,W01000712,100.0
E01006609,E01006609,100.0
E01014668,E01014668,100.0
E01023024,E01023024,100.0
E01023673,E01023673,100.0
E01008683,E01008683,100.0
E01012586,E01012586,100.0
E01017645,E01017645,100.0
E01012994,E01012994,100.0
E01018930,E01018930,100.0
W01001667,W01001667,100.0
E01015048,E01015048,100.0
E01017994,E01017994,100.0
E01021302,E01021302,100.0
W01001302,W01001302,100.0
E01021725,E01021725,100.0
